Weekly Infectious Disease Bulletin - Year 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Polyclinic attendances - Average Daily numbers,Unnamed: 42,Unnamed: 43,Unnamed: 44
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
42,2017-10-15 00:00:00,2017-10-21 00:00:00,1,0,1,5,1,0,0,0,62,1,1,1,635,0,1,9,0,0,0,2,0,0,5,1,0,0,1,2,3,0,38,0,0,0,0,0,0,0,3125.3333333333335,88,575.1111111111111,14
43,2017-10-22 00:00:00,2017-10-28 00:00:00,1,0,2,1,2,0,0,0,77,0,1,0,549,0,1,11,0,0,0,0,0,0,13,1,2,1,0,2,1,0,37,0,0,0,0,0,0,0,2869.2727272727275,74,532.1818181818181,11.090909090909092
44,2017-10-29 00:00:00,2017-11-04 00:00:00,0,0,2,1,3,0,0,0,62,0,1,1,553,0,1,8,0,0,0,0,0,0,21,0,1,0,1,2,4,0,50,0,0,0,0,0,0,0,2882,80,506.54545454545456,11.454545454545455
45,2017-11-05 00:00:00,2017-11-11 00:00:00,0,0,1,1,0,0,0,0,44,0,1,0,474,0,0,11,1,0,0,0,0,0,10,0,1,3,0,3,2,1,35,0,0,0,0,0,1,0,2861.6363636363635,76.54545454545455,519.4545454545455,13.272727272727273
46,2017-11-12 00:00:00,2017-11-18 00:00:00,0,0,0,1,1,0,0,0,50,0,1,1,550,0,1,6,0,0,0,0,0,1,9,0,1,2,0,2,1,0,33,0,1,0,0,0,0,0,2939.4545454545455,79.63636363636364,543.8181818181819,14
47,2017-11-19 00:00:00,2017-11-25 00:00:00,0,0,1,0,2,0,0,0,24,0,1,0,482,0,0,8,0,0,0,0,0,0,15,1,0,1,1,1,5,0,27,0,0,0,0,0,0,0,2909.6363636363635,75.81818181818181,503.8181818181818,13.636363636363637
48,2017-11-26 00:00:00,2017-12-02 00:00:00,0,0,3,3,1,0,0,0,37,1,2,3,463,0,0,9,0,0,0,4,0,0,11,1,3,0,1,4,2,0,38,0,0,0,0,0,0,0,2836,83.27272727272727,502.1818181818182,14.363636363636363
49,2017-12-03 00:00:00,2017-12-09 00:00:00,0,0,1,2,5,0,0,0,33,1,2,1,416,0,0,11,0,0,0,0,0,1,12,0,2,0,0,1,6,0,36,0,0,0,0,0,0,0,2711.2727272727275,82,500.1818181818182,9.636363636363637
50,2017-12-10 00:00:00,2017-12-16 00:00:00,0,0,1,1,0,0,0,0,40,0,0,0,460,0,1,6,0,0,0,0,0,0,11,2,0,2,0,3,2,0,44,0,0,0,0,0,0,0,2676.909090909091,82.36363636363636,482.90909090909093,13.090909090909092
51,2017-12-17 00:00:00,2017-12-23 00:00:00,0,0,1,1,0,0,0,0,51,0,0,0,412,0,0,11,1,0,0,0,0,0,13,0,2,0,1,2,2,1,36,0,0,0,0,0,0,3,2729.090909090909,93.0909090909091,466.1818181818182,10
52,2017-12-24 00:00:00,2017-12-30 00:00:00,0,0,1,0,0,0,0,0,66,0,0,0,325,0,6,7,0,0,0,0,0,1,5,1,1,0,0,2,3,0,42,0,0,0,0,0,0,0,2836,87.77777777777777,484.6666666666667,15.11111111111111
